expo,table,project,sponsors,link,category,special
1,,PIRANA,"Most Disruptive Hack (Red Ventures), Best Rookie, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/69944-pirana,,
1,,Starfox Project,Best Rookie,http://crimsonhacks2017.devpost.com/submissions/69957-starfox-project,,
1,,Get Out,"#HackHarassment, Best Rookie, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/69964-get-out,,
1,,WholegrainTweets,"Amazon Web Services - Best Use of AWS, #HackHarassment, Best Domain Name from Domain.com, Best Rookie, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70102-wholegraintweets,,
1,,BioHackBot,"Most Disruptive Hack (Red Ventures), Best Rookie, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70196-biohackbot,,
1,,Mandalo,"Best Domain Name from Domain.com, Best Rookie",http://crimsonhacks2017.devpost.com/submissions/70219-mandalo,,
1,,LnlyPpl,"Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Best Rookie, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70221-lnlyppl,,
1,,Breakfast-updates-minihacks,Most Creative Way to Display Data Insights (84.51),http://crimsonhacks2017.devpost.com/submissions/70227-breakfast-updates-minihacks,,
1,,"Monkey See, Monkey Do","Best Rookie, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70268-monkey-see-monkey-do,,
1,,Pleasant Planet,"Best Domain Name from Domain.com, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70293-pleasant-planet,,
1,,Cryptomania,"Amazon Web Services - Best Use of AWS, Most Disruptive Hack (Red Ventures), Best Domain Name from Domain.com, Best Rookie, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70334-cryptomania,,
1,,Alexa Database Voice Queries,"Amazon Web Services - Best Use of AWS, Most Creative Way to Display Data Insights (84.51), Best Rookie",http://crimsonhacks2017.devpost.com/submissions/70337-alexa-database-voice-queries,,
1,,ScryVR,"Most Creative Way to Display Data Insights (84.51), Most Disruptive Hack (Red Ventures)",http://crimsonhacks2017.devpost.com/submissions/70342-scryvr,,
1,,StockShare,"Amazon Web Services - Best Use of AWS, Most Creative Way to Display Data Insights (84.51), Most Disruptive Hack (Red Ventures), Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70345-stockshare,,
1,,Safe Space,"Best Domain Name from Domain.com, Best Rookie",http://crimsonhacks2017.devpost.com/submissions/70347-safe-space,,
1,,codesync,"Most Creative Way to Display Data Insights (84.51), Most Disruptive Hack (Red Ventures), Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70348-codesync,,
1,,Open Budget: UA,"Most Creative Way to Display Data Insights (84.51), Best Rookie",http://crimsonhacks2017.devpost.com/submissions/70353-open-budget-ua,,
1,,Magic Mirror Console,Pariveda's Choice,http://crimsonhacks2017.devpost.com/submissions/70357-magic-mirror-console,,
1,,SoundAir,Pariveda's Choice,http://crimsonhacks2017.devpost.com/submissions/70358-soundair,,
1,,Strava Gear,"Most Creative Way to Display Data Insights (84.51), Most Disruptive Hack (Red Ventures), Best Domain Name from Domain.com, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70369-strava-gear,,
1,,Pacimosity,#HackHarassment,http://crimsonhacks2017.devpost.com/submissions/70379-pacimosity,,
1,,Viate,"Amazon Web Services - Best Use of AWS, Most Disruptive Hack (Red Ventures), Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70382-viate,,
1,,Atrocious Apartments,"Amazon Web Services - Best Use of AWS, Most Creative Way to Display Data Insights (84.51), Best Domain Name from Domain.com, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70393-atrocious-apartments,,
1,,MicroWaze,"Best Rookie, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70397-microwaze,,
1,,Connect4 AI(ish),Best Rookie,http://crimsonhacks2017.devpost.com/submissions/70414-connect4-ai-ish,,
1,,Beetle Bots,,http://crimsonhacks2017.devpost.com/submissions/70420-beetle-bots,,
1,,#include<Me>,"#HackHarassment, Best Rookie",http://crimsonhacks2017.devpost.com/submissions/70442-include-me,,
1,,FlightSaver,"Most Disruptive Hack (Red Ventures), Best Rookie, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70473-flightsaver,,
1,,lettuceeatfood.com,Best Domain Name from Domain.com,http://crimsonhacks2017.devpost.com/submissions/70478-lettuceeatfood-com,,
1,,TaskBanisher,"Best Rookie, Pariveda's Choice",http://crimsonhacks2017.devpost.com/submissions/70484-taskbanisher,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
